"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"EFL Championship","M","ENG",2021,"Barnsley","team","5","23","12","6","5","30","22","+8","42","1.83","27.1","22.0","+5.2","+0.22","23","11","3","9","28","28","0","36","1.57","30.9","25.6","+5.2","+0.23"
"EFL Championship","M","ENG",2021,"Birmingham City","team","18","23","6","4","13","18","37","-19","22","0.96","24.0","32.8","-8.8","-0.38","23","7","9","7","19","24","-5","30","1.30","21.5","28.2","-6.7","-0.29"
"EFL Championship","M","ENG",2021,"Blackburn","team","15","23","9","7","7","37","28","+9","34","1.48","31.8","25.2","+6.6","+0.29","23","6","5","12","28","26","+2","23","1.00","37.2","27.3","+9.9","+0.43"
"EFL Championship","M","ENG",2021,"Bournemouth","team","6","23","13","3","7","40","24","+16","42","1.83","29.9","24.4","+5.5","+0.24","23","9","8","6","33","22","+11","35","1.52","34.5","25.7","+8.9","+0.38"
"EFL Championship","M","ENG",2021,"Brentford","team","3","23","12","9","2","39","20","+19","45","1.96","38.4","21.6","+16.8","+0.73","23","12","6","5","40","22","+18","42","1.83","36.5","17.8","+18.6","+0.81"
"EFL Championship","M","ENG",2021,"Bristol City","team","19","23","7","3","13","18","30","-12","24","1.04","17.8","27.6","-9.9","-0.43","23","8","3","12","28","38","-10","27","1.17","22.0","43.6","-21.5","-0.94"
"EFL Championship","M","ENG",2021,"Cardiff City","team","8","23","8","6","9","37","26","+11","30","1.30","32.0","25.3","+6.7","+0.29","23","10","8","5","29","23","+6","38","1.65","26.1","28.7","-2.6","-0.11"
"EFL Championship","M","ENG",2021,"Coventry City","team","16","23","10","7","6","30","22","+8","37","1.61","25.4","26.7","-1.3","-0.06","23","4","6","13","19","39","-20","18","0.78","23.3","35.3","-12.0","-0.52"
"EFL Championship","M","ENG",2021,"Derby County","team","21","23","6","7","10","20","26","-6","25","1.09","26.1","25.2","+1.0","+0.04","23","5","4","14","16","32","-16","19","0.83","21.3","29.2","-7.9","-0.34"
"EFL Championship","M","ENG",2021,"Huddersfield","team","20","23","8","7","8","28","23","+5","31","1.35","24.1","29.6","-5.4","-0.24","23","4","6","13","22","48","-26","18","0.78","21.9","38.8","-16.9","-0.73"
"EFL Championship","M","ENG",2021,"Luton Town","team","12","23","8","9","6","25","23","+2","33","1.43","31.0","26.2","+4.8","+0.21","23","9","2","12","16","29","-13","29","1.26","21.8","30.8","-8.9","-0.39"
"EFL Championship","M","ENG",2021,"Middlesbrough","team","10","23","11","4","8","30","25","+5","37","1.61","31.1","25.1","+6.0","+0.26","23","7","6","10","25","28","-3","27","1.17","27.1","22.1","+4.9","+0.21"
"EFL Championship","M","ENG",2021,"Millwall","team","11","23","7","10","6","24","24","0","31","1.35","25.6","21.1","+4.5","+0.19","23","8","7","8","23","28","-5","31","1.35","24.1","31.7","-7.6","-0.33"
"EFL Championship","M","ENG",2021,"Norwich City","team","1","23","14","6","3","39","15","+24","48","2.09","42.0","23.2","+18.8","+0.82","23","15","4","4","36","21","+15","49","2.13","35.0","28.8","+6.2","+0.27"
"EFL Championship","M","ENG",2021,"Nott'ham Forest","team","17","23","6","8","9","21","24","-3","26","1.13","28.6","23.3","+5.3","+0.23","23","6","8","9","16","21","-5","26","1.13","21.2","28.9","-7.7","-0.33"
"EFL Championship","M","ENG",2021,"Preston","team","13","23","7","5","11","21","24","-3","26","1.13","22.6","31.0","-8.4","-0.37","23","11","2","10","28","32","-4","35","1.52","28.0","29.8","-1.8","-0.08"
"EFL Championship","M","ENG",2021,"QPR","team","9","23","11","4","8","32","27","+5","37","1.61","34.2","32.9","+1.3","+0.06","23","8","7","8","25","28","-3","31","1.35","26.8","29.8","-3.0","-0.13"
"EFL Championship","M","ENG",2021,"Reading","team","7","23","12","4","7","37","27","+10","40","1.74","32.1","24.2","+7.9","+0.34","23","7","9","7","25","27","-2","30","1.30","23.7","23.6","+0.1","0.00"
"EFL Championship","M","ENG",2021,"Rotherham Utd","team","23","23","5","4","14","26","35","-9","19","0.83","29.7","29.8","-0.1","0.00","23","6","5","12","18","25","-7","23","1.00","27.5","32.1","-4.6","-0.20"
"EFL Championship","M","ENG",2021,"Sheffield Weds","team","24","23","8","8","7","22","17","+5","32","1.39","25.7","27.9","-2.2","-0.10","23","4","3","16","18","44","-26","15","0.65","22.5","31.6","-9.2","-0.40"
"EFL Championship","M","ENG",2021,"Stoke City","team","14","23","9","5","9","29","28","+1","32","1.39","27.9","21.3","+6.6","+0.29","23","6","10","7","21","24","-3","28","1.22","22.3","23.6","-1.2","-0.05"
"EFL Championship","M","ENG",2021,"Swansea City","team","4","23","12","6","5","27","16","+11","42","1.83","26.6","21.9","+4.7","+0.21","23","11","5","7","29","23","+6","38","1.65","23.8","25.4","-1.6","-0.07"
"EFL Championship","M","ENG",2021,"Watford","team","2","23","19","2","2","44","12","+32","59","2.57","40.3","22.7","+17.6","+0.77","23","8","8","7","19","18","+1","32","1.39","26.2","23.0","+3.2","+0.14"
"EFL Championship","M","ENG",2021,"Wycombe","team","22","23","7","5","11","17","28","-11","26","1.13","25.9","35.8","-9.9","-0.43","23","4","5","14","22","41","-19","17","0.74","21.4","38.4","-17.0","-0.74"
